,GEOGRAPHYCODE,NoOfPpl,Area_hect,Density_ppl_hect,RoomsPerHouse,BedroomsPerHouse,PcNoCentralHeat,NoOfDwells,PcDetached,PcSemiD,PcTerraced,PcFlatpurposebuilt,PcFlatofHse,PcFlatCommercial,PcMobile,Latitude,Longitude,Deprivation,Price,Count,beach,park,sports,marina,supermarket,foodstore,restaurant,takeaway,bar,nightclub,school,university,shoppincentre,pawnshop,betting,postoffice,doctor,hospital,transport,religion,hotel,waste,office,industry
0,W00002269,324,324,520.67,5.922535211,3.014084507,3.521126761,152,38.81578947,30.26315789,30.92105263,0.0,0.0,0.0,0.0,51.789226,-3.745994,950.0,123500.0,1,16000,0,0,16000,3017,0,0,0,0,0,2691,7256,10775,0,0,9376,2072,2772,1490,2093,0,14504,0,0
1,W00002270,147,147,12.76,5.597222222,2.819444444,0.0,74,6.756756757,71.62162162,10.81081081,8.108108108,2.702702703,0.0,0.0,51.7861075,-3.746657,950.0,107857.14285714286,14,16000,0,0,16000,2730,0,0,0,0,0,2384,7543,10491,0,0,9076,1791,2448,1183,1800,0,14435,0,0
2,W00002271,257,257,43.83,5.884297521,2.876033058,0.0,126,48.41269841,37.3015873,12.6984127,0.793650794,0.0,0.793650794,0.0,51.78637675,-3.74191825,950.0,146423.38235294115,34,16000,0,0,16000,2987,0,0,0,0,0,2620,7307,10741,0,0,8983,2061,2656,1434,2058,0,14135,0,1
3,W00002327,267,267,8.22,5.752293578,3.0,0.917431193,111,6.306306306,85.58558559,8.108108108,0.0,0.0,0.0,0.0,51.77451175,-3.774247625,667.0,79000.0,10,16466,0,4,16000,659,0,1,1,1,0,400,8488,8257,0,0,7647,586,1016,1201,659,0,14237,0,0
4,W00002328,365,365,52.64,6.066115702,3.099173554,0.0,128,42.1875,43.75,11.71875,0.78125,0.0,1.5625,0.0,51.77455744444445,-3.769964444444444,667.0,143198.69047619047,42,16688,0,4,16000,731,0,0,1,1,0,512,8685,8455,0,0,7851,295,870,925,364,0,14336,1,0
5,W00002329,297,297,23.24,6.155737705,3.049180328,0.819672131,132,38.63636364,24.24242424,26.51515152,3.03030303,4.545454545,2.272727273,0.757575758,51.772837473684206,-3.7770264736842094,667.0,133452.27272727274,22,16199,0,3,16000,506,0,3,2,2,0,266,8222,7991,0,0,7388,816,1022,1447,758,0,14001,0,0
6,W00002332,230,230,58.94,5.412844037,2.743119266,1.834862385,110,34.54545455,52.72727273,12.72727273,0.0,0.0,0.0,0.0,51.7801846,-3.7918408,667.0,107379.62962962964,27,16049,0,1,16000,1763,0,0,0,1,0,1041,8296,8059,0,0,6329,1876,2330,2362,1859,3,14526,0,0
7,W00002684,263,263,8.54,5.150793651,2.412698413,0.0,133,9.77443609,72.93233083,12.78195489,0.0,0.0,4.511278195,0.0,51.7759544,-3.757687,1198.0,82796.6,15,16000,1,2,16000,1413,0,2,2,2,0,1031,8894,9153,0,0,8404,565,1089,225,511,2,14779,1,0
8,W00002685,258,258,242.8,5.560344828,2.775862069,0.862068966,126,16.66666667,68.25396825,4.761904762,7.142857143,2.380952381,0.793650794,0.0,51.766284600000006,-3.7685355,1198.0,91590.90909090907,22,16166,0,1,16000,477,0,2,0,0,0,332,8091,7868,0,0,7261,1012,260,1499,617,0,13504,0,0
9,W00002686,270,270,12.52,6.151260504,2.957983193,0.0,129,16.27906977,27.13178295,53.48837209,0.775193798,0.0,2.325581395,0.0,51.776701571428575,-3.7606708571428578,1198.0,112124.24242424245,33,16000,1,3,16000,1307,0,2,2,2,0,971,8967,9067,0,0,8461,390,1088,247,376,2,14780,1,0
